Departamento,Municipio,Operadora,Campo,Contrato,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
META,BARRANCA DE UPIA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL C,CORCEL,0.134,0.133,0.133,0.129,0.133,0.138,0.143,0.139,0.132,0.093,0.064,0.064
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL D,CORCEL,0.034,0.034,0.034,0.034,0.034,0.035,0.035,0.034,0.034,0.031,0.032,0.029
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CORCEL E,CORCEL,0.023,0.023,0.024,0.027,0.028,0.029,0.028,0.027,0.027,0.028,0.028,0.028
CASANARE,TRINIDAD,PERENCO COLOMBIA LIMITED,COREN,COROCORA,0.022,0.027,0.048,0.101,0.09,0.097,0.155,0.158,0.152,0.149,0.164,0.136
CASANARE,TRINIDAD,PERENCO COLOMBIA LIMITED,COROCORA,COROCORA,0.027,0.025,0.047,0.044,0.051,0.059,0.078,0.095,0.088,0.086,0.088,0.094
BOYACA,CORRALES,UNION TEMPORAL OMEGA ENERGY,CORRALES,BUENAVISTA,3.058,2.1,2.302,2.316,2.37,2.062,0.885,0.256,0.271,1.274,6.308,6.219
CASANARE,TRINIDAD,PERENCO COLOMBIA LIMITED,CORSUR,COROCORA,0,0.011,0.028,0.017,0.008,0.011,0.01,0.01,0.014,0.013,0.013,0.017
PUTUMAYO,VILLAGARZON,GRAN TIERRA ENERGY COLOMBIA LTD,COSTAYACO,CHAZA,1.98,1.855,1.724,1.755,1.822,1.83,1.816,1.833,2.226,2.137,2.558,2.468
MAGDALENA,SANTA ANA,PACIFIC STRATUS ENERGY COLOMBIA CORP,COTORRA,E&P GUAMA,0,0.135,0,0,0,0,0,0.598,0.326,0.603,0.606,0.006
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,CRAVO ESTE,CASANARE,0.151,0.152,0.127,0.052,0.092,0.037,0.007,0.107,0.154,0.175,0.354,0.34
SANTANDER,SABANA DE TORRES,ECOPETROL S.A.,CRISTALINA,MAGDALENA MEDIO-CRISTALINA,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.018,0
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA OESTE,LA CUERVA,0.044,0,0,0,0,0,0.034,0.037,0.035,0.052,0.057,0.055
CASANARE,PAZ DE ARIPORO,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA SUR,LA CUERVA,0.002,0,0,0,0,0,0,0.008,0.002,0,0,0
PUTUMAYO,PUERTO ASIS,GRAN TIERRA ENERGY COLOMBIA LTD,CUMPLIDOR,PUT-7,0,0,0,0,0,0,0,0,0,0,0.005,0.041
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA,ECOP-SDLA-OP-DIRECTA,498.245,517.208,512.82,513.047,511.146,490.07,473.009,448.651,429.807,452.335,425.069,460.873
CASANARE,AGUAZUL,EQUION ENERGÍA LIMITED,CUPIAGUA LIRIA,RECETOR,176.467,179.56,193.902,216.607,174.467,175.44,175.492,193.883,189.673,187.676,172.528,168.68
CASANARE,AGUAZUL,ECOPETROL S.A.,CUPIAGUA SUR,ECOP-SDLA-OP-DIRECTA,213.405,207.529,201.481,204.735,204.483,210.455,210.846,208.924,210.219,211.808,218.265,208.174
CASANARE,OROCUE,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CURITO,CASANARE ESTE,0.015,0.013,0.015,0.013,0.01,0.013,0.013,0.012,0.01,0.01,0.008,0.008
CASANARE,SAN LUIS DE PALENQUE,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,CURITO,CASANARE ESTE,0.008,0.01,0.012,0.01,0.008,0.01,0.01,0.009,0.008,0.008,0.006,0.006
CASANARE,TAURAMENA,ECOPETROL S.A.,CUSIANA,RÍO CHITAMENA,0,0,0,0,0,0,39.06,40.439,39.708,41.161,41.759,41.927
CASANARE,TAURAMENA,EQUION ENERGÍA LIMITED,CUSIANA,RÍO CHITAMENA,34.524,37.346,34.802,33.467,34.355,38.296,0,0,0,0,0,0
CASANARE,TAURAMENA,ECOPETROL S.A.,CUSIANA,TAURAMENA,0,0,0,0,0,0,163.528,162.33,152.779,150.897,152.805,150.788
CASANARE,TAURAMENA,EQUION ENERGÍA LIMITED,CUSIANA,TAURAMENA,177.679,178.865,185.712,167.416,166.975,168.004,0,0,0,0,0,0
CASANARE,AGUAZUL,ECOPETROL S.A.,CUSIANA NORTE,CUSIANA NORTE,0,0,0,0,0,0,0,192.405,177.659,178.408,179.058,173.919
CASANARE,AGUAZUL,EQUION ENERGÍA LIMITED,CUSIANA NORTE,CUSIANA NORTE,226.397,225.979,216.521,188.417,192.586,203.524,200.113,0,0,0,0,0
HUILA,AIPE,ECOPETROL S.A.,DINA CRETÁCEOS,PIJAO-POTRERILLO,0.23,0.223,0.192,0.224,0.221,0.209,0.214,0.226,0.221,0.242,0.242,0.277
HUILA,AIPE,ECOPETROL S.A.,DINA TERCIARIOS,PIJAO-POTRERILLO,3.151,3.165,2.736,2.421,2.282,2.328,2.471,2.334,2.248,2.258,2.558,2.769
CESAR,AGUACHICA,ECOPETROL S.A.,DOÑA MARÍA,LEBRIJA,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
CASANARE,PAZ DE ARIPORO,NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,DOROTEA B,DOROTEA,0.182,0.228,0.25,0.225,0.229,0.22,0.237,0.221,0.267,0.33,0.354,0.327
MAGDALENA,ARIGUANI,PETROLEOS SUD AMERICANOS SUCURSAL COLOMBIA,EL DIFÍCIL,EL DIFÍCIL,11.833,11.936,11.525,12.73,10.136,8.347,11.278,14.491,14.557,14.78,14.499,14.263
CASANARE,SAN LUIS DE PALENQUE,PERENCO COLOMBIA LIMITED,LA FLORA,CASANARE,0.002,0,0,0,0,0,0,0,0,0,0,0
META,BARRANCA DE UPIA,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,ESPADARTE,CORCEL,0.018,0.018,0.039,0.041,0.041,0.039,0.035,0.034,0.033,0.033,0.032,0.032
META,CABUYARO,PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,ESPADARTE,CORCEL,0.008,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
HUILA,NEIVA,ECOPETROL S.A.,ESPINO,CAGUAN,0.165,0.158,0.139,0.2,0.195,0.141,0.133,0.103,0.099,0.093,0.088,0.069
SANTANDER,RIONEGRO,AMERISUR EXPLORACION COLOMBIA LTD,FENIX,FENIX,0,0,0,0,0,0,0,0,0,0,0,0
CASANARE,YOPAL,EQUION ENERGÍA LIMITED,FLOREÑA,PIEDEMONTE,70.662,63.32,68.928,70.763,73.201,76.841,82.145,82.344,86.412,89.391,89.64,93.91
CASANARE,YOPAL,EQUION ENERGÍA LIMITED,FLOREÑA MIRADOR,PIEDEMONTE,26.182,21.99,23.112,25.083,25.896,31.148,26.89,28.817,30.13,30.507,30.9,30.169
SANTANDER,BARRANCABERMEJA,ECOPETROL S.A.,GALA,DE MARES,0.247,0.26,0.265,0.25,0.255,0.255,0.234,0.271,0.279,0.266,0.312,0.156
SANTANDER,BARRANCABERMEJA,ECOPETROL S.A.,GALÁN,DE MARES,0.052,0.053,0.049,0.051,0.049,0.051,0.049,0.049,0.049,0.049,0.051,0.05
SANTANDER,PUERTO WILCHES,ECOPETROL S.A.,GARZAS,MAGDALENA MEDIO-YARIGUI-GARZAS,0.339,0.304,0.213,0.212,0.214,0.214,0.213,0.212,0.203,0.129,0.126,0.126
META,VILLAVICENCIO,ECOPETROL S.A.,GAVAN,APIAY,0.508,0.26,0.207,0.355,0.899,0.605,0.355,0.484,0.459,0.358,0.406,0.571
DEPARTAMENTO NN,MUNICIPIO NN,ECOPETROL S.A.,GIBRALTAR,SIRIRI,38.501,38.136,42.177,41.614,41.481,16.44,1.21,42.86,42.849,42.124,42.741,41.82
BOYACA,PUERTO BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,GIRASOL,NARE,0.979,1.372,1.532,1.221,1.173,1.315,1.329,1.151,0.832,0.988,1.061,1.126
CUNDINAMARCA,GUADUAS,PACIFIC STRATUS ENERGY COLOMBIA CORP,GUADUAS,DINDAL,0,0,0,0,1.62,1.617,1.611,1.602,1.591,1.567,1.538,1.488
CUNDINAMARCA,GUADUAS,SIPETROL S.A.,GUADUAS,DINDAL,1.221,1.214,1.315,1.589,0,0,0,0,0,0,0,0
CASANARE,OROCUE,PERENCO COLOMBIA LIMITED,GUANAPALO,ESTERO,0.001,0,0,0,0,0,0,0,0,0,0,0
TOLIMA,MELGAR,PERENCO COLOMBIA LIMITED,GUANDO,BOQUERÓN,1.227,1.438,1.352,1.675,1.765,1.659,1.765,1.782,1.97,1.962,2.024,1.659
