Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
BOLIVAR,ECOPETROL,CANTAGALLO,YARIGUI-CANTAGALLO,Yarigui-Cantagallo,1.4,1.39,1.37,1.35,1.33,1.35,1.31,1.25,1.01,1.08,1.08,1.05
BOLIVAR,ECOPETROL,CANTAGALLO,YARIGUI-CANTAGALLO INCREMENTAL,Yarigui-Cantagallo,3.82,3.77,3.7,3.48,3.12,3.2,3.37,3.12,2.31,2.44,2.47,2.4
BOLIVAR,ECOPETROL,CICUCO,CICUCO,CICUCO,1.31,1.29,1.23,1.32,1.34,1.2,1.05,1.2,1.25,1.33,1.21,1.09
BOLIVAR,ECOPETROL,TALAIGUA NUEVO,CICUCO,BOQUETE,0.23,0.2,0.18,0.17,0.18,0.12,0.1,0.07,0.09,0.09,0.07,0.09
BOYACA,ECOPETROL ALTO MAGDALENA,PUERTO BOYACA,ECOP-OP-DIRECTA,CAIPAL,0.16,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.17
BOYACA,ECOPETROL ALTO MAGDALENA,PUERTO BOYACA,PALAGUA,PALAGUA,3.87,3.76,3.81,3.94,3.98,3.88,3.8,3.86,3.84,3.63,3.62,3.77
BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO BOYACA,GUAGUAQUI TERAN,VELASQUEZ,0.44,0.46,0.6,0.54,0.5,0.49,0.51,0.51,0.52,0.52,0.52,0.58
BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO BOYACA,NARE ASOCIACION,ABARCO,0.2,0.18,0.18,0.18,0.17,0.16,0.19,0.18,0.18,0.2,0.19,0
BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO BOYACA,NARE ASOCIACION,GIRASOL,0.45,0.42,0.47,0.42,0.39,0.42,0.4,0.69,0.64,0.7,0.64,0
BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO BOYACA,NARE ASOCIACION,JAZMIN,0.46,0.45,0.46,0.46,0.45,0.45,0.9,0.89,0.65,0.79,0.87,0
BOYACA,MANSAROVAR ENERGY COLOMBIA LTD,PUERTO BOYACA,NARE ASOCIACION,MORICHE,0.41,0.44,0.43,0.45,0.48,0.47,0.51,0.5,0.49,0.51,0.53,0
