Departamento,Operadora,Municipio,Contrato,Campo,ENERO,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,MOCOA,CHAZA,MOQUETA,1.17,1.19,1.01,1.11,1.18,1.37,1.41,1.42,1.85,1.45,1.95,1.8
PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,MOCOA,SANTANA,TOROYACO,0,0,0,0,0,0,0,0,0,0,0,0
PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,VILLAGARZON,CHAZA,COSTAYACO,2.98,2.8,2.6,2.85,2.67,2.65,2.53,2.24,1.44,1.88,1.94,1.82
PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,VILLAGARZON,GUAYUYACO,JUANAMBU,0.06,0.07,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05
PUTUMAYO,PETROTESTING  COLOMBIA S.A.,PUERTO ASIS,CPI SUR ORIENTE,COHEMBI,1.27,1.43,1.38,1.24,0.52,1.17,0.2,0.05,0.61,1.12,1.05,1.02
PUTUMAYO,PETROTESTING  COLOMBIA S.A.,PUERTO ASIS,CPI SUR ORIENTE,QUILLACINGA,0.68,0.88,1.26,1.19,0.12,0.25,0.1,0,0.14,0.7,0.91,0.82
PUTUMAYO,PETROTESTING  COLOMBIA S.A.,PUERTO ASIS,CPI SUR ORIENTE,QUINDE,0.02,0.29,0.35,0.3,0.69,0.8,0.52,1.38,0.7,0.53,0.84,0.82
PUTUMAYO,UNION TEMPORAL II&B,ORITO,"CDND/I NANCY, BURDINE, MAXINE",BURDINE,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0,0,0,0
PUTUMAYO,UNION TEMPORAL II&B,ORITO,"CDND/I NANCY, BURDINE, MAXINE",NANCY,0.01,0.04,0.05,0.06,0.02,0.08,0.05,0.02,0,0.01,0.01,0.01
SANTANDER,COMPAÑIA OPERADORA PTS PETROCOLOMBIA S.A. - COPP S.A.,CIMITARRA,OPON,OPON,1.2,1.19,1.19,1,0.06,0.06,0.06,0.18,1.15,1.58,1.72,1.91
SANTANDER,ECOPETROL,BARRANCABERMEJA,DE MARES,GALA,0.5,0.47,0.45,0.44,0.44,0.41,0.43,0.43,0.39,0.32,0.35,0.28
SANTANDER,ECOPETROL,BARRANCABERMEJA,DE MARES,GALAN,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05
SANTANDER,ECOPETROL,BARRANCABERMEJA,DE MARES,LLANITO,1.47,1.27,1.24,1.29,1.34,1.29,1.41,1.22,1.07,1.05,0.9,1.02
SANTANDER,ECOPETROL,BARRANCABERMEJA,LA CIRA-INFANTAS INCREMENTAL,INFANTAS,0.43,0.29,0.32,0.26,0.29,0.27,0.28,0.32,0.85,1.18,0.96,0.98
